timestamp,motion,humidity,temperature,illuminance
2026-01-17 17:24:56,93801.37,41.9,24.5,3796
2026-01-17 17:24:58,93808.97,42.2,24.4,3760
2026-01-17 17:25:00,93787.07,42.4,24.4,3741
2026-01-17 17:25:02,93871.92,42.4,24.4,3807
2026-01-17 17:25:04,67125.88,42.5,24.4,3810
2026-01-17 17:25:06,93841.72,42.5,24.4,3845
2026-01-17 17:25:08,93784.02,42.4,24.4,3855
2026-01-17 17:25:10,93807.57,42.5,24.4,3893
2026-01-17 17:25:12,93814.11,42.4,24.4,3858
2026-01-17 17:25:14,93827.96,42.3,24.4,3883
2026-01-17 17:25:16,93780.55,42.3,24.4,3835
2026-01-17 17:25:19,93841.96,42.3,24.4,3861
2026-01-17 17:25:20,93818.29,42.3,24.4,3808
2026-01-17 17:25:22,93828.37,42.3,24.3,3911
2026-01-17 17:25:24,93813.79,42.3,24.3,3817
2026-01-17 17:25:26,93818.3,42.3,24.4,3865
2026-01-17 17:25:28,93774.91,42.4,24.4,3856
2026-01-17 17:25:30,93859.59,42.4,24.4,3895
2026-01-17 17:25:32,93786.45,42.3,24.4,3891
2026-01-17 17:25:34,93850.32,42.3,24.3,3809
2026-01-17 17:25:36,67232.24,42.3,24.4,3943
2026-01-17 17:25:38,93828.27,42.3,24.4,3885
2026-01-17 17:25:40,93787.58,42.3,24.3,3954
2026-01-17 17:25:43,93801.38,42.2,24.4,3932
2026-01-17 17:25:44,93782.15,42.2,24.4,3942
2026-01-17 17:25:47,93812.23,42.2,24.4,3903
2026-01-17 17:25:48,93883.36,42.3,24.3,3865
2026-01-17 17:25:50,93847.24,42.3,24.4,3805
2026-01-17 17:25:53,67160.23,42.3,24.3,3952
2026-01-17 17:25:55,93800.98,42.3,24.4,3786
2026-01-17 17:25:57,93864.96,42.4,24.4,3941
2026-01-17 17:25:59,93806.28,42.5,24.4,3941
2026-01-17 17:26:01,93820.81,42.5,24.4,3923
2026-01-17 17:26:03,67275.42,42.5,24.4,3991
2026-01-17 17:26:05,67155.98,42.5,24.5,3957
2026-01-17 17:26:07,93825.93,42.4,24.4,3952
2026-01-17 17:26:09,93761.28,42.5,24.4,4016
2026-01-17 17:26:11,93788.95,42.6,24.5,3972
2026-01-17 17:26:13,93799,42.7,24.4,3764
2026-01-17 17:26:15,93825.55,42.6,24.5,3771
2026-01-17 17:26:17,67166.27,42.6,24.5,3753
2026-01-17 17:26:19,93836.91,42.7,24.5,3911
2026-01-17 17:26:21,93785.36,42.7,24.5,3863
2026-01-17 17:26:23,93801.53,42.7,24.5,3851
2026-01-17 17:26:25,93818.47,42.7,24.5,3872
2026-01-17 17:26:27,67127.41,42.6,24.4,3805
2026-01-17 17:26:29,67224.63,42.6,24.5,3799
2026-01-17 17:26:31,93815.73,42.5,24.5,3824
2026-01-17 17:26:33,93773.67,42.5,24.4,3856
2026-01-17 17:26:35,93807.82,42.4,24.5,3905
2026-01-17 17:26:37,93816.34,42.3,24.5,3901
2026-01-17 17:26:39,93743.32,42.3,24.5,3856
2026-01-17 17:26:41,93797.26,42.3,24.4,3866
2026-01-17 17:26:43,93802.45,42.2,24.5,3887
2026-01-17 17:26:45,93814.3,42.2,24.3,3888
2026-01-17 17:26:47,93813.16,42.2,24.3,3897
2026-01-17 17:26:49,93774.1,42.1,24.4,3889
2026-01-17 17:26:51,93773.9,42.1,24.4,3888
2026-01-17 17:26:54,93806.62,42.1,24.4,3888
2026-01-17 17:26:56,93786.78,42.2,24.4,4018
2026-01-17 17:26:58,93830.14,42.2,24.3,3942
2026-01-17 17:27:00,93810.56,42.2,24.4,3977
2026-01-17 17:27:02,67162.3,42.2,24.4,3998
2026-01-17 17:27:04,93792.44,42.2,24.3,3875
2026-01-17 17:27:06,93774.07,42.4,24.4,3920
2026-01-17 17:27:08,67121.43,42.5,24.4,3947
2026-01-17 17:27:10,93849.73,42.9,24.3,3923
2026-01-17 17:27:12,93812.59,43.4,24.4,3970
2026-01-17 17:27:14,93847.81,43.5,24.4,4050
2026-01-17 17:27:16,93810.88,43.5,24.4,3906
2026-01-17 17:27:18,93843.47,43.5,24.5,4031
2026-01-17 17:27:20,93764.65,43.4,24.4,4031
2026-01-17 17:27:22,93774.65,43.3,24.4,4035
2026-01-17 17:27:24,93762.55,43.2,24.5,4095
2026-01-17 17:27:26,93834.41,43.2,24.5,4031
2026-01-17 17:27:28,67153.45,43.1,24.4,4075
2026-01-17 17:27:30,93894.21,43.1,24.4,3954
2026-01-17 17:27:32,93831.45,43,24.5,3950
2026-01-17 17:27:34,93766.25,42.9,24.5,3781
2026-01-17 17:27:36,93846.63,42.8,24.5,3809
2026-01-17 17:27:38,67200.68,42.6,24.6,4035
2026-01-17 17:27:40,93829.15,42.6,24.4,4016
2026-01-17 17:27:42,93857.74,42.5,24.5,3964
2026-01-17 17:27:44,93842.07,42.5,24.4,3819
2026-01-17 17:27:46,93844.9,42.4,24.5,3894
2026-01-17 17:27:48,93729.78,42.4,24.5,3901
2026-01-17 17:27:50,93821,42.4,24.4,3916
2026-01-17 17:27:52,93787.91,42.5,24.5,4081
2026-01-17 17:27:54,93820.47,42.5,24.5,3882
2026-01-17 17:27:56,67148.42,42.4,24.5,3856
2026-01-17 17:27:59,93808.02,42.5,24.4,3843
2026-01-17 17:28:00,93849.79,42.4,24.4,3910
2026-01-17 17:28:03,93797.23,42.4,24.4,3894
2026-01-17 17:28:05,93816.92,42.5,24.4,3966
2026-01-17 17:28:07,93823.05,42.4,24.4,3915
2026-01-17 17:28:09,93807.75,42.3,24.4,3871
2026-01-17 17:28:11,67224.21,42.3,24.4,4038
2026-01-17 17:28:13,93768.66,42.3,24.4,4071
2026-01-17 17:28:15,93809.27,42.3,24.4,3926
2026-01-17 17:28:17,93767.84,42.3,24.4,4004
2026-01-17 17:28:19,93815.79,42.4,24.5,3901
2026-01-17 17:28:21,67160.38,42.4,24.4,4009
2026-01-17 17:28:23,67151.52,42.4,24.4,3952
2026-01-17 17:28:25,93837.38,42.3,24.4,3941
2026-01-17 17:28:27,93806.63,42.3,24.4,3873
2026-01-17 17:28:29,93781.7,42.3,24.3,3911
2026-01-17 17:28:31,93809.54,42.3,24.3,3895
2026-01-17 17:28:33,93797.36,42.3,24.4,3920
2026-01-17 17:28:35,93823.86,42.2,24.4,3965
2026-01-17 17:28:37,93839.41,42.2,24.3,3959
2026-01-17 17:28:39,93793.34,42.1,24.3,4026
2026-01-17 17:28:41,93823.72,42.2,24.3,4028
2026-01-17 17:28:43,93777.42,42.2,24.3,4015
2026-01-17 17:28:45,93826.38,42.1,24.3,4022
2026-01-17 17:28:47,93816.67,42.1,24.3,3950
2026-01-17 17:28:49,93754.71,42.1,24.3,4016
2026-01-17 17:28:51,67183.91,42.1,24.3,3967
2026-01-17 17:28:53,67238.03,42,24.3,4095
2026-01-17 17:28:56,93863.51,42.2,24.3,4095
2026-01-17 17:28:57,93789.13,42.1,24.3,4095
2026-01-17 17:28:59,93824.11,42.2,24.2,4095
2026-01-17 17:29:01,93839.5,42.2,24.2,4095
2026-01-17 17:29:04,93757.38,42.1,24.3,4095
2026-01-17 17:29:05,93828,42.2,24.3,4094
2026-01-17 17:29:08,67121.81,42.2,24.3,4095
2026-01-17 17:29:10,93790.99,42.2,24.3,4095
2026-01-17 17:29:12,93775.23,42.2,24.3,4095
2026-01-17 17:29:14,93775.91,42.3,24.2,4019
2026-01-17 17:29:16,93581.48,42.2,24.2,3967
2026-01-17 17:29:18,93800.89,42.1,24.2,4050
2026-01-17 17:29:20,93739.88,42.1,24.2,3984
2026-01-17 17:29:22,93764.48,42.1,24.2,4043
2026-01-17 17:29:24,93816.92,42.2,24.2,3990
2026-01-17 17:29:26,93831.38,42.1,24.2,3984
2026-01-17 17:29:28,93830.8,42.1,24.2,4015
2026-01-17 17:29:30,93759.45,42,24.2,4095
2026-01-17 17:29:32,93754.02,42,24.2,3983
2026-01-17 17:29:34,93791.06,42,24.2,3995
2026-01-17 17:29:36,93811.34,41.9,24.2,4053
2026-01-17 17:29:38,93827.9,41.9,24.2,4002
2026-01-17 17:29:40,93800.16,41.9,24.2,3977
2026-01-17 17:29:42,67240.97,41.9,24.1,4005
2026-01-17 17:29:44,93797.7,42,24.2,3965
2026-01-17 17:29:46,93730.09,42,24.2,3958
2026-01-17 17:29:48,93793.15,42.1,24.2,3994
2026-01-17 17:29:50,93722.17,42.1,24.2,4048
2026-01-17 17:29:52,93725.8,42.1,24.2,4030
2026-01-17 17:29:54,93797.7,42.1,24.2,4031
2026-01-17 17:29:56,93797.95,42.2,24.2,4032
2026-01-17 17:29:58,93742.3,42.2,24.2,4049
2026-01-17 17:30:00,93849.28,42.3,24.2,4077
2026-01-17 17:30:02,67153.73,42.3,24.2,4005
2026-01-17 17:30:04,93772.78,42.4,24.2,4095
2026-01-17 17:30:06,93793.86,42.5,24.2,4010
2026-01-17 17:30:08,93759.05,42.7,24.2,4095
2026-01-17 17:30:10,93834.68,42.7,24.2,4080
2026-01-17 17:30:13,93803.78,42.8,24.2,4095
2026-01-17 17:30:15,93809.13,42.8,24.2,4095
2026-01-17 17:30:17,93805.83,42.7,24.3,4016
2026-01-17 17:30:19,93785.39,42.8,24.3,4018
2026-01-17 17:30:21,93837.09,42.9,24.3,4095
2026-01-17 17:30:23,93808.84,42.9,24.3,4095
2026-01-17 17:30:25,93792.67,42.8,24.3,4095
2026-01-17 17:30:27,93855.77,42.8,24.3,4095
2026-01-17 17:30:29,93921.21,42.9,24.3,4068
2026-01-17 17:30:31,93888.69,42.9,24.3,4070
2026-01-17 17:30:33,93768.23,42.9,24.3,4048
2026-01-17 17:30:35,93818.61,42.9,24.3,4063
2026-01-17 17:30:37,93835.62,42.9,24.4,4046
2026-01-17 17:30:39,93849.23,42.9,24.3,4095
2026-01-17 17:30:41,93802.4,42.9,24.3,4095
2026-01-17 17:30:43,93835.73,42.8,24.3,4095
2026-01-17 17:30:45,93865.09,42.8,24.3,4095
2026-01-17 17:30:47,93861.78,43.3,24.3,4095
2026-01-17 17:30:49,93867.2,43.6,24.4,4095
2026-01-17 17:30:51,93906.13,43.5,24.4,4095
2026-01-17 17:30:53,93731.71,43.4,24.3,4095
2026-01-17 17:30:55,93818.16,43.3,24.4,3920
2026-01-17 17:30:57,93915.52,43.2,24.4,3906
2026-01-17 17:31:00,93790.42,43.1,24.4,3966
2026-01-17 17:31:01,93801.75,42.9,24.4,3959
2026-01-17 17:31:03,93800.04,42.9,24.3,4095
2026-01-17 17:31:05,93731.32,43.3,24.4,4062
2026-01-17 17:31:08,93802.24,43.2,24.4,4021
2026-01-17 17:31:09,93865.27,43.1,24.4,4095
2026-01-17 17:31:11,93824.34,43.1,24.3,4095
2026-01-17 17:31:13,93761.51,43,24.4,4095
2026-01-17 17:31:16,93853.16,42.9,24.4,4095
2026-01-17 17:31:18,93809.1,42.8,24.4,4095
2026-01-17 17:31:19,93871.44,42.7,24.3,4095
2026-01-17 17:31:22,93916.05,42.6,24.3,4095
2026-01-17 17:31:24,93838.91,42.6,24.3,4095
2026-01-17 17:31:26,93816.65,42.6,24.3,4095
2026-01-17 17:31:28,93837.61,42.5,24.3,4095
26-01-18 21:55,"0,51.7,19.1,337,0"
26-01-18 21:56,"0,51.6,19.1,336,0"
26-01-18 21:57,"0,51.3,19.2,337,0"
